PN结	PN結
SQL注入	SQL注入
SQL注入攻击	SQL注入攻擊
丁丁当	丁丁當
丁丁当当	丁丁當當
丁型肝炎	丁型肝炎
万维网	萬維網
三极管	三極管
下拉列表	下拉列表
丙型肝炎	丙型肝炎
丙氨酸	丙氨酸
丝氨酸	絲氨酸
中间件	中間件
串行端口	串行端口
主引导记录	主引導記錄
乌兹别克斯坦	烏茲別克斯坦
乔治亚	喬治亞
乙型肝炎	乙型肝炎
二极管	二極管
二𫫇英	二噁英
云存储	雲存儲
云计算	雲計算
互联网	互聯網
交互式	交互式
亨德尔	亨德爾
亮氨酸	亮氨酸
人工智能	人工智能
他汀类	他汀類
仙童半导体	仙童半導體
代码页	代碼頁
代谢综合征	代謝綜合徵
以太网	以太網
以太网络	以太網絡
以太网路	以太網路
以太网路由器	以太網路由器
任务栏	任務欄
任务管理器	任務管理器
伊利诺伊	伊利諾伊
伊利诺伊州	伊利諾伊州
优先级	優先級
伪代码	僞代碼
伯克希尔-哈撒韦	伯克希爾-哈撒韋
伯克希尔-哈撒韦公司	伯克希爾-哈撒韋公司
伯克希尔哈撒韦	伯克希爾哈撒韋
伯克希尔哈撒韦公司	伯克希爾哈撒韋公司
伯利兹	伯利茲
佐治亚	佐治亞
佐治亚州	佐治亞州
佛得角	佛得角
便携式	便攜式
俄克拉何马	俄克拉何馬
俄克拉何马城	俄克拉何馬城
俄克拉何马州	俄克拉何馬州
俄克拉何马市	俄克拉何馬市
俄克拉荷马	俄克拉荷馬
俄克拉荷马城	俄克拉荷馬城
俄克拉荷马州	俄克拉荷馬州
俄克拉荷马市	俄克拉荷馬市
俄勒冈	俄勒岡
俄勒冈州	俄勒岡州
信噪比	信噪比
信息安全	信息安全
信息技术	信息技術
信息论	信息論
借记卡	借記卡
傅里叶	傅里葉
元数据	元數據
元编程	元編程
克列门蒂	克列門蒂
克罗地亚	克羅地亞
克莱门蒂	克萊門蒂
公元纪年	公元紀年
关系数据库	關係數據庫
内联函数	內聯函數
冈比亚	岡比亞
冒泡排序	冒泡排序
写保护	寫保護
几内亚比绍	幾內亞比紹
出租车	出租車
函数式编程	函數式編程
刀片服务器	刀片服務器
分布式	分佈式
分辨率	分辨率
列支敦士登	列支敦士登
利比里亚	利比里亞
利盖蒂	利蓋蒂
前列腺	前列腺
剪贴板	剪貼板
勃拉姆斯	勃拉姆斯
勋伯格	勳伯格
北卡罗来纳	北卡羅來納
北卡罗来纳州	北卡羅來納州
北马里亚纳	北馬里亞納
北马里亚纳群岛	北馬里亞納羣島
单片机	單片機
南卡罗来纳	南卡羅來納
南卡罗来纳州	南卡羅來納州
博凯里尼	博凱里尼
博茨瓦纳	博茨瓦納
卡塔尔	卡塔爾
卢旺达	盧旺達
危地马拉	危地馬拉
厄瓜多尔	厄瓜多爾
厄立特里亚	厄立特里亞
原代码	原代碼
参数表	參數表
古尔德	古爾德
可执行文件	可執行文件
可视化	可視化
台式机	臺式機
台积公司	臺積公司
台积电	臺積電
司法程序	司法程序
吉布堤	吉布堤
呼叫转移	呼叫轉移
命令式编程	命令式編程
命令行	命令行
命名空间	命名空間
哈萨克斯坦	哈薩克斯坦
哥斯达黎加	哥斯達黎加
唐氏综合征	唐氏綜合徵
唐氏综合症	唐氏綜合症
图瓦卢	圖瓦盧
图雷特综合征	圖雷特綜合徵
土库曼斯坦	土庫曼斯坦
圣卢西亚	聖盧西亞
圣基茨和尼维斯	聖基茨和尼維斯
圣文森特和格林纳丁斯	聖文森特和格林納丁斯
圣马力诺	聖馬力諾
圭亚那	圭亞那
地址栏	地址欄
场效应管	場效應管
坦桑尼亚	坦桑尼亞
埃克森美孚	埃克森美孚
埃塞俄比亚	埃塞俄比亞
埃尔加	埃爾加
城域网	城域網
基里巴斯	基里巴斯
塔吉克斯坦	塔吉克斯坦
